canonicalName,hairs,spines,clonal_cat,annual_perennial_cat,woody_herbaceous_cat,REFERENCE,NOTES
Rudbeckia hirta,0,0,0,Annual,,https://www.nzpcn.org.nz/flora/species/rudbeckia-hirta/,
Sagittaria platyphylla,0,0,1,Perennial,Woody,https://weeds.dpi.nsw.gov.au/Weeds/Sagittaria,
Sapium sebiferum,0,0,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/ChineseTallowTree,
Senecio bipinnatisectus,1,0,0,Annual,,Plantnet,
Senecio inaequidens,,,,,,,
Senecio jacobaea,1,0,1,Perennial,,Plantnet,
Senecio madagascariensis,0,0,1,Annual,,https://www.daf.qld.gov.au/__data/assets/pdf_file/0008/49949/IPA-Fireweed-Risk-Assessment.pdf,crown segments
Senecio pterophorus,1,0,1,Perennial,,https://keyserver.lucidcentral.org/weeds/data/media/Html/senecio_pterophorus.htm,crown segments
Senecio vulgaris,1,0,0,Annual,,Plantnet,
Senna pendula,1,0,0,Perennial,Woody,https://weeds.dpi.nsw.gov.au/Weeds/Cassia,
Silene latifolia,1,0,0,Perennial,,Plantnet,
Silene vulgaris,0,0,0,Perennial,Herb,Plantnet,
Skimmia japonica,,,,Perennial,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286767&isprofile=0&letter=S,
Solidago canadensis,1,0,1,Perennial,,https://plants.usda.gov/DocumentLibrary/factsheet/pdf/fs_soca6.pdf,
Solidago gigantea,0,0,1,Perennial,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.50575,
Sonchus arvensis,0,0,1,Perennial,,https://weeds.dpi.nsw.gov.au/Weeds/CornSowthistle,
Sonchus asper,0,1,0,Annual,,Plantnet,
Spiraea japonica,0,0,0,Perennial,,https://www.nzpcn.org.nz/flora/species/spiraea-japonica/,
Swietenia macrophylla,0,0,0,Perennial,,https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.52155,
Swietenia mahagoni,0,0,0,Perennial,,https://apps.worldagroforestry.org/treedb/AFTPDFS/Swietenia_mahagoni.PDF,
Taraxacum officinale,0,0,0,Perennial,,Plantnet,
Tragopogon dubius,1,0,0,Perennial,,https://www.fs.usda.gov/database/feis/plants/forb/tradub/all.html,
Triadica sebifera,0,0,1,Perennial,Woody,https://weeds.dpi.nsw.gov.au/Weeds/Details/38,
Tussilago farfara,0,0,1,Perennial,,https://www.fs.usda.gov/database/feis/plants/forb/tusfar/all.html,
Verbascum thapsus,1,0,0,Perennial,,Plantnet,
Veronica peregrina,1,0,0,Annual,Herb,Plantnet,
Veronica persica,1,0,0,Perennial,Herb,Plantnet,
Vicia sativa,1,0,1,Annual,,Plantnet,
Wedelia trilobata,1,0,1,Perennial,,Plantnet,
